,Region,Country,Latitude,Longitude,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,Happiness Rank 2017,Happiness Score 2017
70,Middle East and Northern Africa,Turkey,38.963745,35.243322,76,5.332000000000001,78,5.388999999999999,69,5.5
71,Central and Eastern Europe,Kyrgyzstan,41.20438,74.766098,77,5.2860000000000005,85,5.185,98,5.0040001869201705
72,Sub-Saharan Africa,Nigeria,9.081999,8.675277000000001,78,5.268,103,4.875,95,5.07399988174438
73,Southern Asia,Bhutan,27.514162,90.433601,79,5.252999999999999,84,5.196000000000001,97,5.01100015640259
74,Central and Eastern Europe,Azerbaijan,40.143105,47.576927000000005,80,5.212000000000001,81,5.291,85,5.234000205993651
75,Southern Asia,Pakistan,30.375321000000003,69.345116,81,5.194,92,5.132000000000001,80,5.26900005340576
76,Middle East and Northern Africa,Jordan,30.585164000000002,36.238414,82,5.192,80,5.303,74,5.33599996566772
77,Central and Eastern Europe,Montenegro,42.708678000000006,19.37439,82,5.192,88,5.1610000000000005,83,5.23699998855591
78,Eastern Asia,China,35.86166,104.195397,84,5.14,83,5.245,79,5.2729997634887695
79,Sub-Saharan Africa,Zambia,-13.133897,27.849332,85,5.129,106,4.795,116,4.513999938964839
80,Central and Eastern Europe,Romania,45.943160999999996,24.96676,86,5.124,71,5.528,57,5.824999809265139
81,Central and Eastern Europe,Serbia,44.016521000000004,21.005859,87,5.122999999999999,86,5.1770000000000005,73,5.39499998092651
82,Western Europe,Portugal,39.399871999999995,-8.224454,88,5.102,94,5.122999999999999,89,5.19500017166138
83,Central and Eastern Europe,Latvia,56.879635,24.603189,89,5.098,68,5.56,54,5.849999904632571
84,Southeastern Asia,Philippines,12.879721,121.77401699999999,90,5.073,82,5.279,72,5.42999982833862
85,Middle East and Northern Africa,Morocco,31.791702,-7.09262,92,5.013,90,5.151,84,5.2350001335144
86,Central and Eastern Europe,Albania,41.153332,20.168331,95,4.959,109,4.655,109,4.64400005340576
87,Central and Eastern Europe,Bosnia and Herzegovina,43.915886,17.679076000000002,96,4.949,87,5.162999999999999,90,5.18200016021729
88,Latin America and Caribbean,Dominican Republic,18.735692999999998,-70.162651,98,4.885,89,5.155,86,5.230000019073491
89,Eastern Asia,Mongolia,46.862496,103.84665600000001,100,4.874,101,4.907,100,4.95499992370605
90,Western Europe,Greece,39.074208,21.824312,102,4.857,99,5.033,87,5.2270002365112305
91,Middle East and Northern Africa,Lebanon,33.854721000000005,35.862285,103,4.8389999999999995,93,5.129,88,5.22499990463257
92,Central and Eastern Europe,Hungary,47.162494,19.503304,104,4.8,91,5.145,75,5.32399988174438
93,Latin America and Caribbean,Honduras,15.199998999999998,-86.241905,105,4.788,104,4.871,91,5.1810002326965305
94,Central and Eastern Europe,Tajikistan,38.861034000000004,71.276093,106,4.7860000000000005,100,4.996,96,5.04099988937378
95,Middle East and Northern Africa,Tunisia,33.886917,9.537499,107,4.739,98,5.045,102,4.80499982833862
96,Middle East and Northern Africa,Palestinian Territories,31.952162,35.233154,108,4.715,108,4.754,103,4.77500009536743
97,Southern Asia,Bangladesh,23.684994,90.35633100000001,109,4.694,110,4.643,110,4.60799980163574
98,Middle East and Northern Africa,Iran,32.427908,53.68804599999999,110,4.686,105,4.813,108,4.69199991226196
99,Central and Eastern Europe,Ukraine,48.379433,31.16558,111,4.681,123,4.324,132,4.09600019454956
100,Middle East and Northern Africa,Iraq,33.223191,43.679291,112,4.677,112,4.575,117,4.49700021743774
101,Sub-Saharan Africa,South Africa,-30.559482,22.937506,113,4.6419999999999995,116,4.459,101,4.8289999961853
102,Sub-Saharan Africa,Ghana,7.946527000000001,-1.0231940000000002,114,4.633,124,4.276,131,4.11999988555908
103,Sub-Saharan Africa,Zimbabwe,-19.015438,29.154857,115,4.61,131,4.1930000000000005,138,3.875
104,Sub-Saharan Africa,Liberia,6.4280550000000005,-9.429499,116,4.571000000000001,150,3.622,148,3.5329999923706095
105,Southern Asia,India,20.593684,78.96288,117,4.565,118,4.404,122,4.31500005722046
106,Sub-Saharan Africa,Sudan,12.862807,30.217636,118,4.55,133,4.138999999999999,130,4.138999938964839
107,Latin America and Caribbean,Haiti,18.971187,-72.28521500000001,119,4.518,136,4.0280000000000005,145,3.6029999256133998
108,Southern Asia,Nepal,28.394857000000002,84.12400799999999,121,4.513999999999999,107,4.793,99,4.961999893188481
109,Sub-Saharan Africa,Ethiopia,9.145,40.489672999999996,122,4.512,115,4.508,119,4.46000003814697
110,Sub-Saharan Africa,Sierra Leone,8.460555000000001,-11.779889,123,4.507,111,4.635,106,4.70900011062622
111,Sub-Saharan Africa,Mauritania,21.00789,-10.940835,124,4.436,130,4.2010000000000005,123,4.29199981689453
112,Sub-Saharan Africa,Kenya,-0.023559,37.906193,125,4.419,122,4.356,112,4.55299997329712
113,Central and Eastern Europe,Armenia,40.069099,45.038189,127,4.35,121,4.36,121,4.37599992752075
114,Sub-Saharan Africa,Botswana,-22.328474,24.684866,128,4.332,137,3.9739999999999998,142,3.7660000324249303
115,Central and Eastern Europe,Georgia,42.315407,43.356891999999995,130,4.297,126,4.252,125,4.28599977493286
116,Sub-Saharan Africa,Malawi,-13.254307999999998,34.301525,131,4.292,132,4.156000000000001,136,3.97000002861023
117,Southern Asia,Sri Lanka,7.873054,80.77179699999999,132,4.271,117,4.415,120,4.44000005722046
118,Sub-Saharan Africa,Cameroon,7.369722,12.354722,133,4.252,114,4.513,107,4.69500017166138
119,Central and Eastern Europe,Bulgaria,42.733883,25.48583,134,4.218,129,4.217,105,4.71400022506714
120,Middle East and Northern Africa,Egypt,26.820553000000004,30.802497999999996,135,4.194,120,4.362,104,4.7350001335144
121,Middle East and Northern Africa,Yemen,15.552726999999999,48.516388,136,4.077,147,3.7239999999999998,146,3.59299993515015
122,Sub-Saharan Africa,Angola,-11.202691999999999,17.873887,137,4.033,141,3.866,140,3.79500007629395
123,Sub-Saharan Africa,Mali,17.570692,-3.9961660000000006,138,3.995,135,4.073,127,4.19000005722046
124,Sub-Saharan Africa,Uganda,1.373333,32.290275,141,3.931,145,3.739,133,4.08099985122681
125,Sub-Saharan Africa,Senegal,14.497401000000002,-14.452361999999999,142,3.904,128,4.218999999999999,115,4.53499984741211
126,Sub-Saharan Africa,Gabon,-0.803689,11.609444,143,3.8960000000000004,134,4.121,118,4.46500015258789
127,Sub-Saharan Africa,Niger,17.607789,8.081666,144,3.845,142,3.8560000000000003,135,4.02799987792969
128,Southeastern Asia,Cambodia,12.565679,104.990963,145,3.819,140,3.907,129,4.1680002212524405
129,Sub-Saharan Africa,Tanzania,-6.369028,34.888822,146,3.781,149,3.6660000000000004,153,3.34899997711182
130,Sub-Saharan Africa,Madagascar,-18.766947000000002,46.869107,147,3.681,148,3.695,144,3.64400005340576
131,Sub-Saharan Africa,Chad,15.454166,18.732207,149,3.667,144,3.763,137,3.9360001087188703
132,Sub-Saharan Africa,Guinea,9.945587,-9.696645,150,3.656,151,3.6069999999999998,149,3.50699996948242
133,Sub-Saharan Africa,Burkina Faso,12.238333,-1.561593,152,3.5869999999999997,145,3.739,134,4.03200006484985
134,Southern Asia,Afghanistan,33.93911,67.709953,153,3.575,154,3.36,141,3.7939999103546103
135,Sub-Saharan Africa,Rwanda,-1.940278,29.873888,154,3.465,152,3.515,151,3.47099995613098
136,Sub-Saharan Africa,Benin,9.30769,2.315834,155,3.34,153,3.484,143,3.65700006484985
137,Middle East and Northern Africa,Syria,34.802075,38.996815000000005,156,3.0060000000000002,156,3.069,152,3.46199989318848
138,Sub-Saharan Africa,Burundi,-3.3730559999999996,29.918885999999997,157,2.905,157,2.905,154,2.90499997138977
139,Sub-Saharan Africa,Togo,8.619543,0.824782,158,2.839,155,3.303,150,3.4949998855590803
